ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?",Stock,"Low stock amount","Backorders allowed?","Sold individually?","Weight (kg)","Length (cm)","Width (cm)","Height (cm)","Allow customer reviews?","Purchase note","Sale price","Regular price",Categories,Tags,"Shipping class",Images,"Download limit","Download expiry days",Parent,"Grouped products",Upsells,Cross-sells,"External URL","Button text",Position,"Cost of goods",Brands,"Blocksy Custom Data","Blocksy Variation Images","Meta: _eael_post_view_count","Meta: rank_math_news_sitemap_robots","Meta: rank_math_analytic_object_id","Meta: rank_math_internal_links_processed","Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global","Meta: rank_math_seo_score","Meta: rank_math_primary_product_brand","Meta: rank_math_primary_product_cat","Attribute 1 default","Attribute 2 name","Attribute 2 value(s)","Attribute 2 visible","Attribute 2 global","Meta: _wp_desired_post_slug","Attribute 2 default","Meta: rank_math_title","Meta: rank_math_description"
6806,simple,,,"3D Moon Lamp",1,1,visible,"Bring the moon right into your room. This 3D moon lamp is textured to look exactly like the real lunar surface — craters, ridges, and all. The dreamy colours set the perfect vibe whether you're studying, meditating, or just showing off to your friends. Touch it. Tap it. Remote it. It’s mood lighting on another level.","<h3><strong data-start=""493"" data-end=""510"">Key Features:</strong></h3>\n• Realistic 3D-printed lunar surface<br data-start=""549"" data-end=""552"" />• 16 colour options — warm white, cool white, RGB tones<br data-start=""607"" data-end=""610"" />• Touch control + remote included<br data-start=""643"" data-end=""646"" data-is-only-node="""" />• Adjustable brightness levels<br data-start=""676"" data-end=""679"" />• USB rechargeable (no wires while it shines)<br data-start=""724"" data-end=""727"" />• Battery life: 6–8 hours on a full charge<br data-start=""769"" data-end=""772"" />• Includes wooden stand for display<br data-start=""807"" data-end=""810"" />• Eco-friendly PLA material<br data-start=""837"" data-end=""840"" />• Size: approx. 16cm height x 11cm diameter<br data-start=""883"" data-end=""886"" />• Perfect for desks, bedside tables, or gifting someone you moon over",,,taxable,,1,8,3,0,0,0.55,,,,1,,,139,"Room Decor","aesthetics, lamp, light, lighting",,"https://jozistudenthub.co.za/wp-content/uploads/2025/07/4_17-1.png, https://jozistudenthub.co.za/wp-content/uploads/2025/07/1_30-1.png, https://jozistudenthub.co.za/wp-content/uploads/2025/07/2_28-1.png, https://jozistudenthub.co.za/wp-content/uploads/2025/07/4_17-2.png, https://jozistudenthub.co.za/wp-content/uploads/2025/07/3-1.jpg",,,,,,,,,0,,,[],,10,index,41,1,,,,,,,,
6814,simple,,,"Condere Cordless Kettle",1,0,visible,"A sleek and modern cordless electric kettle designed for boiling water quickly and efficiently. Stop boiling with your pot, <strong>asseblief!</strong>","<h3>Features:</h3>\n- 2-litre capacity.\n- Cordless design with 360-degree rotational base.\n- Rapid boiling with a powerful 2200W heating element.\n- Automatic shut-off and boil-dry protection.\n- Easy-grip handle and power indicator light.\nMaterial: Stainless Steel",,,taxable,,1,6,,0,0,,,,,1,,,165,Kitchenware,"appliance, cordless, kettle, kitchen",,"https://jozistudenthub.co.za/wp-content/uploads/2025/07/1-1-1.png, https://jozistudenthub.co.za/wp-content/uploads/2025/07/2-1.jpg, https://jozistudenthub.co.za/wp-content/uploads/2025/07/3-2.jpg",,,,,,,,,0,,,,,2,index,40,1,,,,,,,,
6819,variable,,,"Fluffy cushions",1,1,visible,"These aren’t just cushions — they’re a whole vibe. Soft, fluffy, and aesthetic AF, these decorative pillows instantly elevate your space from “meh” to magazine cover. Throw one on your bed, couch, or floor — wherever you chill most. They don’t just look good, they feel good too.","<h3><strong data-start=""439"" data-end=""456"">Key Features:</strong></h3>\n• Ultra-soft faux fur or plush velvet material<br data-start=""505"" data-end=""508"" />• Size: ~40x40cm (standard)<br data-start=""535"" data-end=""538"" />• Lightweight inner filling for cloud-like comfort<br data-start=""588"" data-end=""591"" data-is-only-node="""" />• Zipper or stitched closure (model dependent)<br data-start=""637"" data-end=""640"" />• Fade-resistant fabric — stays vibrant and clean<br data-start=""689"" data-end=""692"" />• Available in neutral and pastel tones to match any space<br data-start=""750"" data-end=""753"" />• Machine washable cover (check label)<br data-start=""791"" data-end=""794"" />• Perfect for dorms, couches, beds, and IG selfies",,,taxable,,1,30,5,0,0,,45,,45,0,,,,"Room Decor","aesthetics, cushions, fluffy, fur",,"https://jozistudenthub.co.za/wp-content/uploads/2025/07/All-colors-1.png, https://jozistudenthub.co.za/wp-content/uploads/2025/07/Assorted-colors.jpg",,,,,,,,,0,,,,,2,index,39,1,color,"Grey, Red, Pink, White, Black, Brown, Orange, Blue, Green, Dusty pink",1,0,8,0,0,
6820,variation,,,"Fluffy cushions - Grey",1,0,visible,,,,,taxable,parent,0,0,,0,0,,,,,0,,,69,,,,,,,id:6819,,,,,,1,,,,"{""gallery_source"":""default"",""images"":[]}",,,,,color,Grey,,0,,,,
6821,variation,,,"Fluffy cushions - Red",1,0,visible,,,,,taxable,parent,1,15,,1,0,,,,,0,,,69,,,,https://jozistudenthub.co.za/wp-content/uploads/2025/07/Red.jpg,,,id:6819,,,,,,2,,,,"{""gallery_source"":""custom"",""images"":[{""url"":""https:\/\/jozistudenthub.co.za\/wp-content\/uploads\/2025\/07\/Red2-300x300.jpg"",""attachment_id"":6837}]}",,,,,color,Red,,0,,,,
6822,variation,,,"Fluffy cushions - Pink",1,0,visible,,,,,taxable,parent,1,2,,0,0,,,,,0,,,69,,,,https://jozistudenthub.co.za/wp-content/uploads/2025/07/Pink.jpg,,,id:6819,,,,,,3,,,,"{""gallery_source"":""default"",""images"":[]}",,,,,color,Pink,,0,,,,
6823,variation,,,"Fluffy cushions - White",1,0,visible,,,,,taxable,parent,1,7,,0,0,,,,,0,,,69,,,,https://jozistudenthub.co.za/wp-content/uploads/2025/07/White.webp,,,id:6819,,,,,,4,,,,"{""gallery_source"":""default"",""images"":[]}",,,,,color,White,,0,,,,
6824,variation,,,"Fluffy cushions - Black",1,0,visible,,,,,taxable,parent,0,0,,0,0,,,,,0,,,69,,,,,,,id:6819,,,,,,5,,,,"{""gallery_source"":""default"",""images"":[]}",,,,,color,Black,,0,,,,
6825,variation,,,"Fluffy cushions - Brown",1,0,visible,,,,,taxable,parent,1,15,,1,0,,,,,0,,,69,,,,https://jozistudenthub.co.za/wp-content/uploads/2025/07/Brown-single.jpg,,,id:6819,,,,,,6,,,,"{""gallery_source"":""custom"",""images"":[{""url"":""https:\/\/jozistudenthub.co.za\/wp-content\/uploads\/2025\/07\/Brown-300x300.jpg"",""attachment_id"":6832}]}",,,,,color,Brown,,0,,,,
6826,variation,,,"Fluffy cushions - Orange",1,0,visible,,,,,taxable,parent,0,0,,0,0,,,,,0,,,69,,,,,,,id:6819,,,,,,7,,,,"{""gallery_source"":""default"",""images"":[]}",,,,,color,Orange,,0,,,,
